movie_name,ranking,score,score_number
肖申克的救赎,1,9.7,2032805
霸王别姬,2,9.6,1506293
阿甘正传,3,9.5,1538540
这个杀手不太冷,4,9.4,1730571
美丽人生,5,9.5,967102
泰坦尼克号,6,9.4,1489339
千与千寻,7,9.4,1593498
辛德勒的名单,8,9.5,784118
盗梦空间,9,9.3,1471318
忠犬八公的故事,10,9.4,1021936
海上钢琴师,11,9.3,1226461
楚门的世界,12,9.3,1095317
三傻大闹宝莱坞,13,9.2,1363707
机器人总动员,14,9.3,969200
放牛班的春天,15,9.3,948999
星际穿越,16,9.3,1098311
大话西游之大圣娶亲,17,9.2,1076613
熔炉,18,9.3,663384
疯狂动物城,19,9.2,1285096
无间道,20,9.2,877456
龙猫,21,9.2,911985
教父,22,9.3,666486
当幸福来敲门,23,9.1,1089107
怦然心动,24,9.1,1269175
触不可及,25,9.2,712260
蝙蝠侠：黑暗骑士,26,9.2,733645
控方证人,27,9.6,285055
活着,28,9.2,570377
乱世佳人,29,9.3,488219
寻梦环游记,30,9.1,1071620
末代皇帝,31,9.2,516019
摔跤吧！爸爸,32,9.0,1115801
指环王3：王者无敌,33,9.2,540377
何以为家,34,9.1,654546
少年派的奇幻漂流,35,9.1,1026305
飞屋环游记,36,9.0,957605
十二怒汉,37,9.4,325018
鬼子来了,38,9.2,441398
天空之城,39,9.1,607649
哈尔的移动城堡,40,9.1,699027
素媛,41,9.2,444145
大话西游之月光宝盒,42,9.0,862717
天堂电影院,43,9.2,475695
罗马假日,44,9.0,702024
闻香识女人,45,9.1,610406
辩护人,46,9.2,436896
哈利·波特与魔法石,47,9.0,664437
我不是药神,48,9.0,1494901
搏击俱乐部,49,9.0,631407
死亡诗社,50,9.1,498947
教父2,51,9.2,368635
指环王2：双塔奇兵,52,9.1,493759
狮子王,53,9.0,572309
大闹天宫,54,9.3,273251
窃听风暴,55,9.1,410265
指环王1：魔戒再现,56,9.0,555762
猫鼠游戏,57,9.0,568704
两杆大烟枪,58,9.1,438203
美丽心灵,59,9.0,541005
饮食男女,60,9.1,404625
钢琴家,61,9.2,369760
黑客帝国,62,9.0,555381
飞越疯人院,63,9.1,430504
V字仇杀队,64,8.9,758804
本杰明·巴顿奇事,65,8.9,706193
看不见的客人,66,8.8,831469
让子弹飞,67,8.8,1149472
西西里的美丽传说,68,8.9,694655
小鞋子,69,9.2,284937
拯救大兵瑞恩,70,9.0,457178
海豚湾,71,9.3,284779
情书,72,8.9,648714
穿条纹睡衣的男孩,73,9.1,352200
绿皮书,74,8.9,1072310
音乐之声,75,9.0,424865
美国往事,76,9.2,300114
海蒂和爷爷,77,9.2,270765
致命魔术,78,8.9,605495
低俗小说,79,8.8,598571
七宗罪,80,8.8,701131
沉默的羔羊,81,8.8,598693
蝴蝶效应,82,8.8,664671
禁闭岛,83,8.8,666775
春光乍泄,84,8.9,449301
心灵捕手,85,8.9,496758
布达佩斯大饭店,86,8.8,630279
被嫌弃的松子的一生,87,8.9,536053
阿凡达,88,8.7,950910
摩登时代,89,9.3,198204
剪刀手爱德华,90,8.7,804536
勇敢的心,91,8.9,444332
天使爱美丽,92,8.7,768886
喜剧之王,93,8.7,667141
致命ID,94,8.8,560947
加勒比海盗,95,8.7,631448
断背山,96,8.8,534730
杀人回忆,97,8.8,463041
狩猎,98,9.1,251650
哈利·波特与死亡圣器(下),99,8.8,531134
请以你的名字呼唤我,100,8.9,448855
幽灵公主,101,8.9,392707
阳光灿烂的日子,102,8.8,451151
小森林 夏秋篇,103,9.0,297498
入殓师,104,8.8,448651
重庆森林,105,8.7,569810
第六感,106,8.9,388868
7号房的礼物,107,8.9,368197
消失的爱人,108,8.7,639608
红辣椒,109,9.0,275588
小森林 冬春篇,110,9.0,262462
爱在黎明破晓前,111,8.8,422158
一一,112,9.0,251874
侧耳倾听,113,8.9,325387
唐伯虎点秋香,114,8.6,722680
玛丽和马克思,115,8.9,331199
超脱,116,8.9,330620
倩女幽魂,117,8.7,512202
蝙蝠侠：黑暗骑士崛起,118,8.8,508661
告白,119,8.7,534831
大鱼,120,8.8,420225
阳光姐妹淘,121,8.8,455743
甜蜜蜜,122,8.8,370982
射雕英雄传之东成西就,123,8.7,467445
萤火之森,124,8.9,350740
驯龙高手,125,8.7,543682
无人知晓,126,9.1,191872
超能陆战队,127,8.7,703666
幸福终点站,128,8.8,386187
借东西的小人阿莉埃蒂,129,8.8,384479
菊次郎的夏天,130,8.8,364074
爱在日落黄昏时,131,8.8,358523
恐怖直播,132,8.8,448287
完美的世界,133,9.1,179634
神偷奶爸,134,8.6,701906
怪兽电力公司,135,8.7,458487
玩具总动员3,136,8.8,355769
功夫,137,8.6,669661
血战钢锯岭,138,8.7,576403
人生果实,139,9.5,94081
风之谷,140,8.9,280349
傲慢与偏见,141,8.6,544339
时空恋旅人,142,8.7,391613
上帝之城,143,8.9,229785
教父3,144,8.9,245513
天书奇谭,145,9.2,145677
电锯惊魂,146,8.7,355676
喜宴,147,8.9,239579
英雄本色,148,8.7,357128
被解救的姜戈,149,8.7,436193
谍影重重3,150,8.8,307516
七武士,151,9.2,133703
岁月神偷,152,8.7,457141
哪吒闹海,153,9.1,174271
我是山姆,154,8.9,214172
头号玩家,155,8.7,1011202
釜山行,156,8.5,799068
疯狂原始人,157,8.7,618523
纵横四海,158,8.8,288709
三块广告牌,159,8.7,604233
心迷宫,160,8.7,348096
达拉斯买家俱乐部,161,8.8,322959
萤火虫之墓,162,8.7,319866
真爱至上,163,8.6,522281
荒蛮故事,164,8.8,297423
哈利·波特与阿兹卡班的囚徒,165,8.7,392949
贫民窟的百万富翁,166,8.6,571667
东邪西毒,167,8.6,434123
你的名字。,168,8.4,979725
记忆碎片,169,8.6,439344
爆裂鼓手,170,8.7,396214
卢旺达饭店,171,8.9,208535
花样年华,172,8.6,405311
黑天鹅,173,8.6,632694
忠犬八公物语,174,9.2,131404
黑客帝国3：矩阵革命,175,8.7,296624
模仿游戏,176,8.7,432021
一个叫欧维的男人决定去死,177,8.8,259731
头脑特工队,178,8.7,416985
哈利·波特与密室,179,8.6,411992
你看起来好像很好吃,180,8.9,246758
雨人,181,8.7,307851
未麻的部屋,182,8.9,186731
无敌破坏王,183,8.7,380091
新世界,184,8.8,231529
恋恋笔记本,185,8.5,473275
冰川时代,186,8.6,455924
海街日记,187,8.8,280151
二十二,188,8.7,213007
海边的曼彻斯特,189,8.6,352715
惊魂记,190,9.0,164231
房间,191,8.8,285955
虎口脱险,192,8.9,169574
恐怖游轮,193,8.5,564949
奇迹男孩,194,8.6,414413
魔女宅急便,195,8.6,334707
人工智能,196,8.6,314762
雨中曲,197,9.0,147518
疯狂的石头,198,8.5,571921
小偷家族,199,8.7,584124
爱在午夜降临前,200,8.8,228293
罗生门,201,8.8,218475
绿里奇迹,202,8.8,195976
终结者2：审判日,203,8.7,251938
海洋,204,9.1,129943
初恋这件小事,205,8.4,760632
魂断蓝桥,206,8.8,199080
燃情岁月,207,8.8,214186
可可西里,208,8.8,208805
2001太空漫游,209,8.8,199759
穿越时空的少女,210,8.6,294550
牯岭街少年杀人事件,211,8.8,183515
城市之光,212,9.3,88802
完美陌生人,213,8.5,401120
无耻混蛋,214,8.6,351703
新龙门客栈,215,8.6,316451
源代码,216,8.4,603721
阿飞正传,217,8.5,358483
