id,movie_name,score,star
1295644,这个杀手不太冷,9.4,45
3742360,让子弹飞,8.8,45
25986180,釜山行,8.5,45
4920389,头号玩家,8.7,45
1291543,功夫,8.6,45
26100958,复仇者联盟4：终局之战,8.5,45
1652587,阿凡达,8.7,45
26861685,红海行动,8.3,40
26698897,唐人街探案2,6.7,35
11026735,超能陆战队,8.7,45
30488569,龙岭迷窟,8.3,40
26363254,战狼2,7.1,35
1851857,蝙蝠侠：黑暗骑士,9.2,45
26425063,无双,8.1,40
26311973,唐人街探案,7.6,40
24773958,复仇者联盟3：无限战争,8.1,40
1866479,复仇者联盟,8.2,40
3168101,毒液：致命守护者,7.2,35
3878007,海王,7.6,40
1432146,钢铁侠,8.3,40
1298070,加勒比海盗,8.7,45
1309046,V字仇杀队,8.9,45
10741834,复仇者联盟2：奥创纪元,7.5,40
3025375,奇异博士,7.6,40
3066739,钢铁侠2,7.6,40
2138838,美国队长,7.0,35
24753477,蜘蛛侠：英雄归来,7.4,35
1291571,指环王1：魔戒再现,9.0,45
3231742,钢铁侠3,7.8,40
25815034,湄公河行动,8.0,40
25820460,美国队长3,7.9,40
1866471,雷神,7.1,35
7065154,银河护卫队,8.1,40
26931786,蜘蛛侠：英雄远征,7.7,40
1291843,黑客帝国,9.0,45
1866473,蚁人,7.7,40
6390823,美国队长2,8.0,40
1291552,指环王3：王者无敌,9.2,45
25937854,银河护卫队2,8.0,40
6560058,雷神2：黑暗世界,7.4,35
1291572,指环王2：双塔奇兵,9.1,45
25821634,雷神3：诸神黄昏,7.4,35
6390825,黑豹,6.5,35
26393561,小萝莉的猴神大叔,8.4,40
26366496,邪不压正,7.0,35
26213252,惊奇队长,6.9,35
26709258,罗小黑战记,8.2,40
26636712,蚁人2：黄蜂女现身,7.3,35
30314127,惊天营救,7.1,35
1866475,无敌浩克,7.0,35
3395373,蝙蝠侠：黑暗骑士崛起,8.8,45
1300299,杀人回忆,8.8,45
26925317,动物世界,7.2,35
3071441,雪国列车,7.5,40
1297574,英雄本色,8.7,45
1292000,搏击俱乐部,9.0,45
26374197,蜘蛛侠：平行宇宙,8.6,45
24404677,超体,7.3,35
26575103,捉妖记2,5.0,25
4864908,影,7.2,35
26885074,叶问4：完结篇,6.9,35
3077412,寻龙诀,7.4,35
1292328,东邪西毒,8.6,45
10432911,流感,7.7,40
1783457,功夫熊猫,8.1,40
6311303,加勒比海盗5：死无对证,7.2,35
1315574,加勒比海盗2：聚魂棺,8.3,40
1418192,加勒比海盗3：世界的尽头,8.2,40
3718279,死侍,7.8,40
23761370,速度与激情7,8.3,40
24405378,王牌特工：特工学院,8.4,40
1652592,阿丽塔：战斗天使,7.5,40
3227410,加勒比海盗4：惊涛怪浪,7.7,40
1302467,黑客帝国3：矩阵革命,8.7,45
30182726,狩猎,7.3,35
3592854,疯狂的麦克斯4：狂暴之路,8.6,45
11589036,功夫熊猫3,7.7,40
25786060,X战警：天启,7.7,40
25765735,金刚狼3：殊死一战,8.3,40
10485647,X战警：逆转未来,8.2,40
24753810,战狼,6.9,35
1859036,宝贝计划,7.4,35
6307447,被解救的姜戈,8.7,45
1309069,蝙蝠侠：侠影之谜,8.4,40
26260853,速度与激情8,7.1,35
1304141,黑客帝国2：重装上阵,8.6,45
26588308,死侍2：我爱我家,7.3,35
26667010,X战警：黑凤凰,5.8,30
6982558,长城,4.9,25
3821067,一代宗师,8.0,40
1794171,变形金刚,8.2,40
1295409,纵横四海,8.8,45
3233635,功夫熊猫2,8.0,40
1294639,勇敢的心,8.9,45
1297747,少林足球,7.9,40
1292287,新龙门客栈,8.6,45
1306612,蜘蛛侠,7.8,40
26416062,侏罗纪世界2,6.7,35
